key,pl,de,en,fr (French),sv (Swedish),it (Italian),es (Spanish),da (Danish)
,,,,,,,,
%@ ago,%@ temu,vor %@,%@ ago,,,,,
%@%lld New Videos,%1$@%2$lld Nowe filmy,%1$@%2$lld Neue Videos,%1$@%2$lld New Videos,,,,,
%lld New Videos,%lld Nowe filmy,%lld Neue Videos,%lld New Videos,,,,,
%lld min,%lld min,%lld min,%lld min,,,,,
Could not subscribe: %@,Nie można zasubskrybować: %@,Abonnieren fehlgeschlagen: %@,Could not subscribe: %@,,,,,
Couldn't convert to URL: %@,Nie można przekonwertować na URL: %@,URL konnte nicht erstellt werden: %@,Couldn't convert to URL: %@,,,,,
HTTP request failed: %@,Żądanie HTTP nie powiodło się: %@,HTTP request fehlgeschlagen: %@,HTTP request failed: %@,,,,,
InboxHasVideosTip,Nowe filmy,Neue Videos,New Videos,,,,,
InboxHasVideosTipMessage,"Kliknij tutaj, aby zobaczyć nowe filmy",Tippe hier um neue Videos anzusehen,Tap here to view new videos,,,,,
InboxSwipeTip,Przesuń w lewo lub prawo,Wische Links oder Rechts,Swipe Left or Right,,,,,
InboxSwipeTipMessage,"Przesunięcie w lewo wyczyści film, a przesunięcie w prawo da ci możliwość wstawienia go na szczyt lub na dół kolejki.

Kliknięcie filmu przeniesie go na szczyt kolejki i rozpocznie odtwarzanie.","Nach links wischen löscht das Video, nach rechts wischen gibt dir die Möglichkeit, es oben oder unten in die Warteschlange einzufügen.

Tippen auf ein Video bewegt es an die Spitze der Warteschlange und startet die Wiedergabe.","Swiping left will clear the video, while swiping right will give you the option to insert it at the top or bottom of the Queue.

Tapping a video will move it to the top of the Queue and start playback.",,,,,
Today,Dzisiaj,Heute,Today,,,,,
"Today, %@","Dzisiaj, %@","Heute, %@","Today, %@",,,,,
Unwatched,Unwatched,Unwatched,Unwatched,,,,,
Video,Film,Video,Video,,,,,
WatchInUnwatched,Oglądaj w Unwatched,In Unwatched ansehen,Watch in Unwatched,,,,,
WatchInUnwatchedDescription,Odtwarza film i otwiera Unwatched,Öffnet Unwatched und started das Video,Plays the video in and opens Unwatched,,,,,
"Yesterday, %@","Wczoraj, %@","Gestern, %@","Yesterday, %@",,,,,
^[%lld video](inflect: true) available,^[%lld Film](inflect: true) dostępny,^[%lld Video](inflect: true) Verfügbar,^[%lld Video](inflect: true) Available,,,,,
addAsPlaylist,Subskrybuj playlistę,Playlist abonnieren,Subscribe to Playlist,,,,,
addAsVideosToInbox,Dodaj filmy z playlisty do skrzynki,Playlist Videos zur Inbox hinzufügen,Add Playlist Videos to Inbox,,,,,
addAsVideosToQueue,Dodaj playlistę do kolejki,Playlist oben in die Queue,Queue Playlist Next,Suivant dans la liste,,,,
addBookmark,Dodaj do zakładek,Speichern,Bookmark,,,,,
addSubscription,Dodaj subskrypcję,Abo Hinzufügen,Add Subscription,,,,,
addSubscription ${youtubeUrl},Subskrybuj ${youtubeUrl},${youtubeUrl} abonnieren,Subscribe to ${youtubeUrl},,,,,
addSubscriptionButtonTip,Dodaj kanał do Unwatched,Kanal zu Unwatched hinzufügen,Add Channel to Unwatched,,,,,
addSubscriptionButtonTipMessage,"Zawsze używaj tego przycisku, aby dodać kanał do tej aplikacji. Przycisk ""subskrybuj"" na YouTube działa tylko na stronie/aplikacji YouTube.","Verwende diesen Button um den Channel zu Unwatched hinzuzufügen. Der YouTube ""abonnieren""-Button betrifft ausschließlich die YouTube Webseite/App.","Always use this button to add a channel to this App. The YouTube ""subscribe"" button only works for the YouTube website/App.",,,,,
addSubscriptionDescription,Dodaje subskrypcję w Niewidzianych dla kanału YouTube pod podanym adresem URL kanału lub playlisty.,Abonniert den YouTube Kanal/Playlist in Unwatched der unter der gegebenen URL.,Adds a subscription in Unwatched for the YouTube channel at the given channel or playlist URL.,,,,,
addSubscriptionTip,Odwiedź dowolną stronę kanału,Besuche eine beliebige Kanalseite,Visit Any Channel Page,,,,,
addSubscriptionTipMessage,"Na wszystkich stronach kanałów pojawi się tutaj przycisk 'Dodaj kanał'. Użyj go, aby dodać kanał do Unwatched.","Auf allen Kanalseiten erscheint hier eine 'Kanal hinzufügen'-Button. Verwende ihn, um den Kanal zu Unbeobachtet hinzuzufügen.","On all channel pages, an 'Add Channel'-Button will appear here. Use it to add the channel to Unwatched.",,,,,
addToInbox,Dodaj do skrzynki,Zur Inbox hinzufügen,Add to Inbox,,,,,
addToInboxShort,Skrzynka,Inbox,Inbox,,,,,
addVideos,Dodaj filmy ręcznie,Videos manuell hinzufügen,Add Videos Manually,,,,,
addVideosTip,Dodaj filmy ręcznie,Videos manuell hinzufügen,Add Videos Manually,,,,,
addVideosTipMessage,Wprowadź tutaj bezpośrednio adres URL filmu (lub kanału) YouTube lub skonfiguruj i użyj akcji udostępniania (można to również zrobić w Ustawieniach).,Gib hier eine YouTube-Video-URL ein oder setze das Share Sheet auf (auch über die Einstellungen möglich).,"Enter a YouTube video (or channel) URL here directly, or by setting up and using the share sheet action (can also be done in Settings).",,,,,
addYoutubeUrl,Dodaj URL YouTube,YouTube URL hinzufügen,Add YouTube URL,Ajouter un lien YouTube,,,,
addYoutubeUrl ${youtubeUrl},Dodaj film z ${youtubeUrl},Video ${youtubeUrl} hinzufügen,Add video from ${youtubeUrl},,,,,
addYoutubeUrlDescription,Dodaje film na szczyt kolejki,Fügt das Video als nächstes Video auf die Warteschlange/Queue,Adds the video to the top of the Queue,,,,,
addedVideo,Pomyślnie dodano do kolejki,Video erfolgreich gequeued,Queued Successfully,,,,,
addingVideo,Dodawanie filmu do kolejki…,Zur Queue hinzufügen...,Queueing Video…,,,,,
airplayHDOff,AirPlay HD,AirPlay HD,AirPlay HD,,,,,
airplayHDOn,AirPlay HD włączony,AirPlay HD aktiviert,AirPlay HD enabled,,,,,
allVideos,Wszystkie filmy,Alle Videos,All Videos,,,,,
allowRefreshDuringSync,Włącz odświeżanie podczas synchronizacji,Neuladen während Synchronisation,Enable Refresh During Sync,,,,,
allowRefreshDuringSyncFooter,Odświeżanie podczas synchronizacji może prowadzić do zduplikowania filmów. Duplikaty powinny zniknąć po zakończeniu synchronizacji.,Ein Aktualisieren während der Synchronisierung kann zu Duplikaten führen. Diese sollten nach der Synchronisierung automatisch entfernt werden.,Refreshing while the device is syncing may lead to duplicate videos. They should be automatically cleaned up after the sync is done.,,,,,
app,Aplikacja,App,App,,,,,
appColor,Kolor aplikacji,App Farbe,App Color,,,,,
appearance,Wygląd,Erscheinungsbild,Appearance,,,,,
asyncListHistoryCheck,Asynchroniczne sprawdzanie historii list,Async List Historie vergleichen,Async List History Check,,,,,
autoAirplayHD,Automatycznie włącz AirPlay HD,AirPlay HD automatisch aktivieren,Automatically turn on AirPlay HD,,,,,
autoAirplayHDHelper,"AirPlay HD próbuje poprawić jakość wideo przesyłanego przez AirPlay, ale może wpływać na tryb pełnoekranowy i inne funkcje.

Tryb AirPlay HD włączy się automatycznie po wybraniu urządzenia AirPlay (w tym głośników) przez przycisk AirPlay w odtwarzaczu. Nie dotyczy centrum sterowania.","AirPlay HD versucht die AirPlay-Videoqualität zu verbessern, kann aber Vollbild und andere Funktionen beeinträchtigen.

AirPlay HD aktiviert sich automatisch, wenn ein AirPlay-Gerät (inkl. Lautsprecher) über den AirPlay-Button im Player ausgewählt wird. Gilt nicht für das Kontrollzentrum.","AirPlay HD attempts to enhance AirPlay video quality, but may affect fullscreen and other features.

AirPlay HD mode will automatically turn on whenever an AirPlay destination (including speakers) is selected via the player’s AirPlay button. Does not apply to control center.",,,,,
autoAirplayHDHelperShort,"Próby poprawy jakości wideo AirPlay, ale może wpływać na tryb pełnoekranowy i inne funkcje.","Mögliche Verbesserung der AirPlay-Videoqualität, kann aber Vollbild und andere Funktionen beeinträchtigen.","Attempts to enhance AirPlay video quality, but may affect fullscreen and other features.",,,,,
autoDeleteBackups,Automatyczne usuwanie kopii zapasowych,Backups automatisch löschen,Auto Delete Backups,,,,,
autoDeleteBackupsNow,Usuń automatyczne kopie zapasowe,Backups jetzt automatisch löschen,Auto Delete Backups Now,,,,,
autoDeleteHelper,Automatyczne usuwanie zachowa: - Wszystkie ręczne kopie zapasowe - Wszystkie kopie zapasowe z ostatniego tygodnia - Jedną kopię zapasową na tydzień z ostatnich 6 miesięcy - Jedną kopię zapasową na miesiąc po tym okresie,"Die automatische Löschung behält:
- Alle manuellen Backups
- Alle Backups der letzten Woche
- Ein Backup pro Woche in den letzten 6 Monaten
- Ein Backup pro Monat danach",Auto delete will keep: - All manual backups - All backups within the last week - One backup per week within the last 6 months - One backup per month after that,,,,,
autoDeletedCount: %lld,Usunięte kopie zapasowe: %lld,Gelöschte Backups: %lld,Deleted Backups: %lld,,,,,
autoRefresh,Automatyczne odświeżanie,Automatisch aktualisieren,Automatically Refresh,,,,,
automaticBackups,Automatyczne kopie zapasowe,Automatische Backups,Automatic Backups,,,,,
automaticBackupsHelper,"Unwatched będzie automatycznie zapisywać codzienne podsumowanie Twoich danych w iCloud Drive każdego dnia, gdy otworzysz aplikację.",Unwatched speichert automatisch deine Video Daten in iCloud Drive an jedem Tag an dem du die App öffnest.,Unwatched will automatically store a daily snapshot of your user data to iCloud Drive every day you open the app.,,,,,
backupNow,Kopia zapasowa do iCloud Drive,Backup auf iCloud Drive,Backup to iCloud Drive,,,,,
backupToIcloud,Utwórz kopię zapasową w iCloud Drive,iCloud Drive Backup,Back Up To iCloud Drive,,,,,
blackWhite,Czarny/Biały,Schwarz/Weiß,Black/White,,,,,
blockingAdsFaqA,"Reklamy nie są wyświetlane z przyczyn technicznych; Unwatched nie blokuje ich aktywnie.  Jeśli chcesz wesprzeć swoje kanały, rozważ użycie Patreon lub YouTube Premium.","Werbungen tauchen aus technischen Gründen nicht auf; Unwatched unternimmt nichts sie zu blockieren.   Um die Kanäle zu unterstützen, kann Patreon oder YouTube Premium genutzt werden.","Ads aren’t showing up due to technical reasons; Unwatched isn’t actively blocking them.  If you’d like to support your channels, consider using Patreon or YouTube Premium.",,,,,
blockingAdsFaqQ,Czy reklamy YouTube są blokowane? Chcę wspierać twórców.,Wird YouTube-Werbung blockiert? Ich möchte Creator unterstützen.,Are YouTube ads being blocked? I want to support creators.,,,,,
blockingAdsFaqT,Blokowanie reklam,Werbung Blockieren,Blocking Ads,,,,,
blue,Niebieski,Blau,Blue,,,,,
bookmarkedVideos,Zakładki,Gespeichert,Bookmarks,,,,,
browser,Szukaj na YouTube,YouTube Browser,Search YouTube,,,,,
browserAsTab,Pokaż przeglądarkę YouTube na pasku nawigacji,YouTube Browser in Tab Bar zeigen,Show YouTube Browser in Tab bar,,,,,
browserShort,YouTube,YouTube,YouTube,,,,,
cancel,Anuluj,Abbrechen,Cancel,,,,,
categoryFiller,Wypełniacz,Filler,Filler,,,,,
categoryInteraction,Interakcja,Interaktion,Interaction,,,,,
categoryIntro,Wstęp,Intro,Intro,,,,,
categoryMusicOfftopic,Muzyka offtopic,Musik offtopic,Music offtopic,,,,,
categoryOutro,Zakończenie,Outro,Outro,,,,,
categoryPreview,Podgląd,Preview,Preview,,,,,
categorySelfpromo,[Autopromocja],[Eigen Werbung],[Self promotion],,,,,
categorySponsor,[Reklama],[Sponsor],[Sponsor],,,,,
channelTitle,Tytuł kanału,Kanal Name,Channel Title,,,,,
chapterDescription,Opis filmu,Videobeschreibung,Video Description,,,,,
chapterFilter,Rozdziały,Kapitel,Chapters,,,,,
chapterFilterFooter,"Ustawia rozdziały zawierające dowolne z podanych słów kluczowych jako nieaktywne, gdy film zostanie załadowany do odtwarzacza. Użyj "","" do oddzielenia wielu słów kluczowych.","Setzt Kapitel, die eines der Schlüsselwörter enthalten, beim Laden des Videos auf inaktiv. Verwende "","" um mehrere Schlüsselwörter zu trennen.","Sets chapters that include any of the keywords to inactive when the video is loaded into the player. Use “,” to separate multiple keywords.",,,,,
chapterOff,Rozdział wyłączony,Kapitel Aus,Chapter Off,,,,,
chapterOn,Rozdział włączony,Kapitel An,Chapter On,,,,,
chapters,Rozdziały,Chapter,Chapters,,,,,
clear,Wyczyść,Entfernen,Clear,,,,,
clearAbove,Wyczyść powyżej,Alles darüber entfernen,Clear Above,,,,,
clearAction,Wyczyść ze skrzynki,Aus Inbox entfernen,Clear from Inbox,,,,,
clearActionQueue,Wyczyść z kolejki,Aus Queue entfernen,Clear from Queue,,,,,
clearAll,Wyczyść wszystko,Alles entfernen,Clear All,,,,,
clearAllVideos,Wyczyść wszystkie filmy,Alle Videos entfernen,Clear all Videos,,,,,
clearBelow,Wyczyść poniżej,Alles darunter entfernen,Clear Below,,,,,
clearText,Wyczyść tekst,Text löschen,Clear Text,,,,,
clearVideo,Wyczyść,Entfernen,Clear,,,,,
clearedInboxDate,Ostatnio wyczyszczone ze skrzynki,Zuletzt aus der Inbox entfernt,Last Cleared from Inbox,,,,,
close,Zamknij,Schließen,Close,,,,,
compactList,Kompaktowy,Kompakt,Compact,,,,,
confirm,Potwierdź,Bestätigen,Confirm,,,,,
confirmAutoDeleteBackup,Usunąć automatyczne kopie zapasowe?,Backups automatisch löschen?,Auto Delete Backups?,,,,,
confirmClearAll,Potwierdź wyczyszczenie wszystkiego,Alles entfernen Bestätigen,Confirm Clear All,,,,,
confirmDeleteEverything,Czy na pewno usunąć wszystko?,Wirklich alles löschen?,Really Delete Everything?,,,,,
confirmDeleteEverythingMessage,"Tej operacji nie można cofnąć. Możesz utworzyć kopię zapasową, jeśli chcesz przywrócić dane w przyszłości.","Dies kann nicht rückgängig gemacht werden. Erstelle ein Backup, falls du die Daten in der Zukunft wiederherstellen möchtest.",This cannot be undone. You can create a backup if you wish to restore the data in the future.,,,,,
considerGettingYoutubePremium,"Proszę rozważ zakup [YouTube Premium](https://www.youtube.com/premium), aby wesprzeć twórców.","Bitte abonniere  [YouTube Premium](https://www.youtube.com/premium), um YouTube Kanäle zu unterstützen",Please consider getting [YouTube Premium](https://www.youtube.com/premium) to support creators,,,,,
contactUs,E-mail,Email,Email,,,,,
continuousPlayOff,Włącz ciągłe odtwarzanie,Fortlaufende Wiedergabe aktivieren,Enable Continuous Play,,,,,
continuousPlayOn,Ciągłe odtwarzanie włączone,Fortlaufende Wiedergabe aktiv,Continuous Play Enabled,,,,,
controls,Sterowanie odtwarzaczem,Player Controls,Player Controls,,,,,
copyAnswer,Kopiuj odpowiedź,Antwort kopieren,Copy Answer,,,,,
copyUrl,Kopiuj URL,URL kopieren,Copy URL,,,,,
createdDate,Data dodania,Datum hinzugefügt,Added Date,,,,,
customSpeedSetting,Niestandardowe dla kanału,Benutzerdefinierte für Kanal,Custom for Channel,,,,,
darkGreen,Ciemno zielony,Dunkelgrün,Dark Green,,,,,
darkMode,Tryb ciemny,Dunkel,Dark Mode,,,,,
darkModeCurrent,Tryb ciemny (Aktywny),Dunkel (Aktiv),Dark Mode (Active),,,,,
debug,Debugowanie,Debugging,Debug,,,,,
debugNoNewVideos,Debugowanie: Brak nowych filmów,Debug: Keine Neuen Videos,Debug: No New Videos,,,,,
debugNoNewVideosSubtitle,Wyłącz to w Biblioteka → Ustawienia → Debugowanie,Deaktiviere diese Nachricht in Bibliothek → Einstellungen → Debug,Turn this off under Library → Settings → Debug,,,,,
defaultShortsSetting %@,Domyślne (%@),Standard (%@),Default (%@),,,,,
defaultSpeed%@,Domyślne (%@×),Standard (%@×),Default (%@×),,,,,
defaultVideoPlacement %@,Domyślne (%@),Standard (%@),Default (%@),,,,,
deferDateHelper,Odroczone filmy pojawią się ponownie w określonym dniu w Skrzynce lub Kolejce zgodnie z ustawieniami subskrypcji.,"Videos mit Aufschubdatum erscheinen zum festgelegten Datum entweder in der Inbox oder in der Queue, je nach Kanal-Einstellungen.",Deferred videos will re-appear at the specified date in either Inbox or Queue per subscription settings.,,,,,
deferVideo,Data odroczenia,Aufschubdatum,Defer Date,,,,,
delete,Usuń,Löschen,Delete,,,,,
deleteEverything,Usuń wszystko,Alles Löschen,Delete Everything,,,,,
deleteImageCache,Usuń cache obrazów,Bild-Cache Löschen,Delete Image Cache,,,,,
deselectAll,Odznacz wszystkie,Alles abwählen,Deselect All,,,,,
disableCaptions,Wyłącz napisy,Untertitel deaktivieren,Disable Captions,,,,,
dismiss,Odrzuć,Schließen,Dismiss,,,,,
doNothing,Nie rób nic,Nichts tun,Do Nothing,,,,,
doNothingShort,Nic,Nichts,Nothing,,,,,
dropSubscriptionHelper,"Upuść tutaj adresy URL kanałów/RSS lub użyj przeglądarki powyżej, aby wyszukać kanały.",Ziehe RSS-Feeds/Kanal-URLs hierher oder benutze den Browser um nach Kanälen zu suchen.,Drop RSS feed/channel URLs here or use the Browser above to search for channels.,,,,,
dropToAddVideo,Zostanie dodane do Twojej kolejki,Es wird zur Queue hinzugefügt werden,It will be added to your Queue,,,,,
dropVideoHere,Upuść film,Video hier ablegen,Drop Video,,,,,
dropVideoToQueue,Upuść film do kolejki,Video ablegen zur Queue,Drop Video to Queue,,,,,
dropVideoUrlsHere,Dodaj filmy do kolejki,Video zur Warteschlange hinzufügen,Add Videos To Queue,,,,,
dropVideosTip,Przeciągnij i upuść filmy tutaj,Drag & drop Videos hier,Drag & drop videos here,,,,,
duplicatesFaqA,"Gdy synchronizacja iCloud jest włączona, duplikaty mogą się pojawiać, ale powinny zniknąć po odświeżeniu.

Jeśli nadal są widoczne, przytrzymaj przycisk odświeżania i wybierz “Przeładuj i usuń duplikaty“. Jeśli problem nie zniknie, daj mi znać.","Duplikate können bei aktivem iCloud-Sync nicht verhindert werden, sollten aber automatisch nach der Aktualisierung entfernt werden.

Falls nicht, drücke lange auf den „Neu laden“-Button und wähle „Neu laden & deduplizieren“. Sind danach immer noch Duplikate vorhanden, bitte Bescheid geben.","If iCloud sync is enabled, duplicates can’t currently be avoided. However, they should automatically clean up after refresh.

If still visible, long press the refresh button and select “Reload & Dedupe.” If they remain, please let me know.",,,,,
duplicatesFaqQ,Dlaczego występują zduplikowane filmy/subskrypcje?,Warum gibt es doppelte Video/Abos?,Why are there duplicate videos/subscriptions?,,,,,
duplicatesFaqT,Duplikaty,Duplikate,Duplicates,,,,,
durationMissingFaqA,"Kanały RSS YouTube nie zawierają długości filmów. Gdy film zostanie załadowany w odtwarzaczu, pojawi się jego długość.

W przypadku filmów z rozdziałami, czas rozpoczęcia ostatniego rozdziału jest używany jako przybliżona długość, wyświetlana jako minimalny czas ""+"".","YouTube-RSS-Feeds enthalten keine Video-Dauern. Sobald das Video im Player geladen ist, wird die Dauer angezeigt.

Bei Videos mit Kapiteln wird die Startzeit des letzten Kapitels als ungefähre Dauer verwendet und als minimale ""+""-Zeit angezeigt.","YouTube RSS feeds don't include video durations. Once the video loads in the player, the duration will appear.

For videos with chapters, the start time of the last chapter is used as an approximate duration, shown as the minimum ""+"" time.",,,,,
durationMissingFaqQ,"Dlaczego brakuje długości niektórych filmów? Co oznacza ""+""?","Warum fehlt die Dauer bei einigen Videos? Was bedeutet ""+""?","Why is the duration missing on some videos? What does ""+"" mean?",,,,,
durationMissingFaqT,Brakująca długość filmu,Fehlende Dauer,Missing Duration,,,,,
emailAndFaq,E-mail i FAQ,Email & FAQ,Email & FAQ,,,,,
emptyYoutubeId,Nie można odczytać YoutubeId z URL,YouTube ID in URL nicht gefunden,Couldn't parse YoutubeId from URL,,,,,
enableQueueContextMenu,Włącz menu kontekstowe,Kontextmenü aktivieren,Enable Context Menu,,,,,
enableYtWatchHistory,Historia filmów na YouTube,YouTube Wiedergabeverlauf,YouTube Watch History,,,,,
enableYtWatchHistoryHelper,"Upewnij się, że jesteś zalogowany na swoje konto w przeglądarce w aplikacji.",Erfordert angemeldeten YouTube Account im in-App Browser.,Make sure you're signed into your account in the in-app browser.,,,,,
enterPip,Włącz Pip,Pip aktivieren,Enable Pip,,,,,
